prefix_length,agent_count,return_pattern,scenario,trials,makespan_mean_ms,makespan_p95_ms,request_p95_mean_ms,relocated_fraction,ownership_relocated_fraction,full_prefix_hit_rate,reprefilled_tokens_mean,queue_relief_after_return_mean_ms,hbm_relief_mean_ms,speedup_vs_sticky,speedup_vs_reroute,speedup_vs_on_return
32768,8,multi-wave,tokencake-source,3,2197.9284305125475,2225.069524720311,1947.9284305125475,0,0.0,1,0,0.0,0.0,0.4410561828275721,2.53076120001093,0.522178176113242
32768,8,multi-wave,reroute,3,5562.431992342074,5581.513612531126,5562.431992342074,0.5,0.0,0.5,131088,0.0,0.0,0.17427807207794527,1.0,0.20633245685566334
32768,8,multi-wave,ttl-reroute,3,5577.026933431625,5604.286514222622,5577.026933431625,0.5,0.0,0.5,131088,0.0,0.0,0.17382199068806878,0.997383024815236,0.2057924899362607
32768,8,multi-wave,on-return,3,1147.7102590724826,1179.2971026152372,1147.7102590724826,0.5,0.5,1,0,487.75702559699613,1666.5792058532436,0.8446469098163203,4.846547243410834,1.0
32768,8,multi-wave,agentix-on-return,3,961.2896585216125,965.3238113969564,846.8472662692269,0.25,0.25,1,0,313.6600839595,1469.4127862652142,1.0084472615475095,5.786426539630786,1.1939276043368345
32768,8,multi-wave,agentshift,3,969.2768106857935,977.5375360623002,719.2768106857935,0.5,0.5,1,0,0.0,1484.806673290829,1.0001373322902185,5.7387445268668715,1.184089257495433
32768,8,simultaneous,sticky,3,784.7443170224627,793.274188414216,784.7443170224627,0,0.0,1,0,0.0,0.0,1.0,7.094867306237908,1.6285943582018945
32768,8,simultaneous,agentix,3,3109.583696971337,3115.461486391723,3109.583696971337,0.25,0.0,0.75,65544,0.0,0.0,0.2523631435895376,1.7904830167528332,0.4109971918680156
32768,8,simultaneous,ttl,3,776.618774048984,778.4198680892587,776.618774048984,0,0.0,1,0,0.0,0.0,1.0104627176743557,7.16909889980009,1.6456338811778093
32768,8,simultaneous,tokencake-source,3,10558.34961247941,27349.382964894176,10558.34961247941,0,0.0,1,0,0.0,0.0,0.07432452474342549,0.5273226406537999,0.12104450167317986
32768,8,simultaneous,reroute,3,5567.656798598667,5569.31335106492,5567.656798598667,0.5,0.0,0.5,131088,0.0,0.0,0.14094696304197063,1.0,0.22954542881584428
32768,8,simultaneous,ttl-reroute,3,5576.048629979293,5579.70460690558,5576.048629979293,0.5,0.0,0.5,131088,0.0,0.0,0.14073484094154626,0.9984950218447687,0.22919996795984324
32768,8,simultaneous,on-return,3,1278.0301673337817,1302.0460791885853,1278.0301673337817,0.5,0.5,1,0,623.6066607137521,1794.3881930162509,0.6140264424740389,4.356436131874631,1.0
32768,8,simultaneous,agentix-on-return,3,980.8572273080548,996.6617040336132,980.8572273080548,0.25,0.25,1,0,329.26410250365734,1489.2273722216487,0.8000596775701796,5.676317249431909,1.3029726771156214
32768,8,simultaneous,agentshift,3,729.2277741556367,735.4282503947616,729.2277741556367,0.5,0.5,1,0,0.0,1249.7965125367045,1.0761305929839382,7.635003761404157,1.7525802124221013
